_ - matches - _ - homeTeam - name,_ - matches - _ - awayTeam - name
Crystal Palace ,Southampton 
Liverpool ,Southampton 
Newcastle United ,Norwich City 
Spurs ,Manchester City 
Manchester United ,Wolves
Leicester City ,Chelsea 
Burnley ,Arsenal 
West Ham,Brighton
Crystal Palace ,Sheffield United 
Watford ,Everton 
Bournemouth,Aston Villa 
Wolves,Leicester City 
Aston Villa ,Spurs
Manchester City ,West Ham 
Arsenal ,Newcastle United 
Chelsea ,Manchester United 
Everton ,Crystal Palace 
Norwich City ,Liverpool 
Sheffield United ,Bournemouth
Southampton ,Burnley 
Brighton,Watford 
Wolves,Norwich City 
Liverpool ,West Ham 
Arsenal ,Everton 
Chelsea ,Spurs
Manchester United ,Watford 
Sheffield United ,Brighton
Leicester City ,Manchester City 
Burnley ,Bournemouth
Southampton ,Aston Villa 
Crystal Palace ,Newcastle United 
Aston Villa ,Sheffield United 
Manchester City ,Arsenal 
Newcastle United ,Burnley 
Spurs ,Wolves
Everton ,Manchester United 
Norwich City ,Leicester City 
West Ham,Southampton 
Brighton,Crystal Palace 
Watford ,Liverpool 
Bournemouth,Chelsea 
Wolves,Brighton
Liverpool ,Bournemouth
Arsenal ,West Ham 
Chelsea ,Everton 
Manchester United ,Manchester City 
Sheffield United ,Norwich City 
Leicester City ,Aston Villa 
Burnley ,Spurs
Southampton ,Newcastle United 
Crystal Palace ,Watford 
Aston Villa ,Chelsea 
Manchester City ,Burnley 
Newcastle United ,Sheffield United 
Spurs ,Manchester United 
Everton ,Liverpool 
Norwich City ,Southampton 
West Ham,Wolves
Brighton,Arsenal 
Watford ,Leicester City 
Bournemouth,Crystal Palace 
Wolves,Bournemouth
Liverpool ,Crystal Palace 
Newcastle United ,Aston Villa 
Chelsea ,Manchester City 
Spurs ,West Ham 
Manchester United ,Sheffield United 
Norwich City ,Everton 
Leicester City ,Brighton
Burnley ,Watford 
Southampton ,Arsenal 
Aston Villa ,Wolves
Manchester City ,Liverpool 
Arsenal ,Norwich City 
Everton ,Leicester City 
Sheffield United ,Spurs
West Ham,Chelsea 
Crystal Palace ,Burnley 
Brighton,Manchester United 
Watford ,Southampton 
Bournemouth,Newcastle United 
Wolves,Arsenal 
Liverpool ,Aston Villa 
Newcastle United ,West Ham 
Chelsea ,Watford 
Spurs ,Everton 
Manchester United ,Bournemouth
Norwich City ,Brighton
Leicester City ,Crystal Palace 
Burnley ,Sheffield United 
Southampton ,Manchester City 
